ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
123.125.116.241;8084;Distorting;false;"China";1136;98;"Jan 22 17:09:30"
180.246.117.53;3128;Transparent;false;"Indonesia";3635;94;"Jan 22 17:09:05"
118.97.133.66;3128;Transparent;false;"Indonesia";1315;96;"Jan 22 17:08:58"
118.97.13.197;8080;Transparent;false;"Indonesia";5981;94;"Jan 22 17:08:57"
124.195.6.243;8080;Transparent;false;"Indonesia";11077;80;"Jan 22 17:08:51"
118.96.78.13;8080;Transparent;false;"Indonesia";16582;67;"Jan 22 17:08:50"
175.111.90.34;8080;Transparent;false;"Indonesia";6698;78;"Jan 22 17:08:48"
14.102.2.6;8080;Transparent;false;"India";1541;97;"Jan 22 17:08:38"
124.160.133.2;80;Transparent;false;"China";1587;98;"Jan 22 17:08:37"
111.221.3.218;8080;Transparent;false;"Bangladesh";10447;91;"Jan 22 17:08:16"
125.89.74.141;80;Transparent;false;"China";1017;97;"Jan 22 17:07:07"
118.175.6.210;3128;Transparent;false;"Thailand";1432;52;"Jan 22 17:06:59"
118.174.133.14;3128;Transparent;false;"Thailand";10552;82;"Jan 22 17:06:41"
121.52.71.23;80;Distorting;false;"Indonesia";5128;64;"Jan 22 17:06:36"
125.18.12.204;80;Anonymous;false;"India";8171;90;"Jan 22 17:06:26"
110.139.132.23;8080;Transparent;false;"Indonesia";3443;90;"Jan 22 17:06:15"
110.138.160.170;8080;Transparent;false;"Indonesia";18397;90;"Jan 22 17:05:51"
121.52.144.245;80;Transparent;false;"Pakistan";4640;85;"Jan 22 17:05:45"
117.79.157.164;3128;Anonymous;false;"China";34472;92;"Jan 22 17:05:41"
121.22.34.166;3128;Transparent;false;"China";6583;43;"Jan 22 17:05:40"
110.136.147.192;8080;Transparent;false;"Indonesia";4924;85;"Jan 22 17:05:33"
123.125.116.242;18253;Distorting;false;"China";1127;97;"Jan 22 17:05:08"
109.224.31.37;8080;Transparent;false;"Iraq";1265;37;"Jan 22 17:04:42"
109.207.61.132;8090;Transparent;false;"Poland";778;50;"Jan 22 17:04:41"
109.207.61.57;8090;Transparent;false;"Poland";245;25;"Jan 22 17:04:41"
109.110.97.191;8080;Transparent;false;"Lebanon";14756;87;"Jan 22 17:04:40"
120.197.85.173;80;Transparent;false;"China";1088;99;"Jan 22 17:04:35"
117.218.37.18;3128;Transparent;false;"India";4277;89;"Jan 22 17:04:14"
117.211.92.35;8080;Transparent;false;"India";1590;90;"Jan 22 17:04:10"
119.82.253.88;8080;Transparent;false;"Cambodia";1266;95;"Jan 22 17:03:58"
116.254.100.86;8080;Distorting;false;"Indonesia";14254;73;"Jan 22 17:03:53"
60.208.56.19;1080;Socks4;true;"China";30;89;"Jan 22 17:02:32"
103.12.20.94;8080;Transparent;false;"Indonesia";3396;89;"Jan 22 17:01:40"
120.203.215.6;80;Anonymous;false;"China";1416;99;"Jan 22 17:01:23"
120.203.214.182;80;Anonymous;false;"China";1351;99;"Jan 22 17:01:21"
120.203.214.177;80;Anonymous;false;"China";1198;99;"Jan 22 17:01:20"
120.203.214.162;80;Anonymous;false;"China";1234;98;"Jan 22 17:01:19"
114.199.91.34;8080;Transparent;false;"Indonesia";7052;96;"Jan 22 17:01:17"
120.203.214.147;80;Anonymous;false;"China";1309;99;"Jan 22 17:01:17"
59.60.7.146;1080;Socks5;true;"China";30;98;"Jan 22 17:01:12"
120.197.85.182;80;Transparent;false;"China";1080;99;"Jan 22 17:01:11"
113.212.125.30;8080;Transparent;false;"Indonesia";1604;94;"Jan 22 17:01:09"
103.10.22.226;8080;Transparent;false;"Mongolia";1130;95;"Jan 22 17:00:51"
101.255.60.158;8080;Transparent;false;"Indonesia";40275;64;"Jan 22 17:00:48"
119.110.67.200;8080;Transparent;false;"Indonesia";1297;92;"Jan 22 17:00:41"
120.85.132.234;80;Distorting;false;"China";22602;78;"Jan 22 17:00:32"
46.4.150.9;1080;Socks4;true;"Germany";30;100;"Jan 22 17:00:27"
118.99.114.57;8080;Transparent;false;"Indonesia";1590;41;"Jan 22 17:00:24"
120.197.85.181;80;Transparent;false;"China";1050;99;"Jan 22 17:00:19"
118.97.37.123;80;Transparent;false;"Indonesia";1511;91;"Jan 22 17:00:08"
63.141.249.37;8080;Transparent;false;"United States";10992;94;"Jan 22 16:58:45"
219.243.220.100;1080;Socks5;true;"China";30;100;"Jan 22 16:58:27"
87.106.246.207;8118;Anonymous;false;"Germany";19751;98;"Jan 22 16:58:05"
85.217.130.46;8080;Transparent;false;"Bulgaria";664;76;"Jan 22 16:57:45"
84.20.82.82;8080;Transparent;false;"Albania";11890;41;"Jan 22 16:57:29"
83.83.61.85;80;Anonymous;false;"Netherlands";3654;50;"Jan 22 16:57:13"
222.90.206.134;1080;Socks4;true;"China";30;100;"Jan 22 16:57:07"
82.79.92.226;8080;Transparent;false;"Romania";998;75;"Jan 22 16:56:44"
82.114.92.33;8080;Transparent;false;"Albania";3746;92;"Jan 22 16:56:43"
95.82.73.36;8080;Transparent;false;"Iran";8228;84;"Jan 22 16:55:20"
95.172.68.150;80;Transparent;false;"Great Britain (UK)";304;99;"Jan 22 16:54:57"
95.159.105.2;3128;Transparent;false;"Iraq";759;96;"Jan 22 16:54:56"
213.21.31.194;1080;Socks4;true;"Russian Federation";30;75;"Jan 22 16:54:52"
80.194.50.123;8080;Distorting;false;"Great Britain (UK)";17319;30;"Jan 22 16:54:48"
202.114.205.125;1080;Socks5;true;"China";30;100;"Jan 22 16:54:18"
210.59.248.194;1080;Socks4;true;"Taiwan";30;98;"Jan 22 16:54:10"
210.27.145.144;1080;Socks5;true;"China";30;98;"Jan 22 16:54:07"
212.26.50.4;1080;Socks5;true;"Saudi Arabia";30;92;"Jan 22 16:54:07"
92.39.54.161;8080;Transparent;false;"Moldova";1621;68;"Jan 22 16:53:23"
91.228.53.28;3128;Transparent;false;"Germany";1959;92;"Jan 22 16:53:21"
50.22.206.179;8080;Transparent;false;"United States";3513;77;"Jan 22 16:52:46"
91.143.35.115;8080;Transparent;false;"Russian Federation";3635;95;"Jan 22 16:52:34"
89.28.65.55;8080;Transparent;false;"Moldova";900;93;"Jan 22 16:52:30"
5.9.117.186;3128;Transparent;false;"Germany";464;88;"Jan 22 16:52:28"
5.10.225.242;8080;Transparent;false;"Iraq";1982;90;"Jan 22 16:52:26"
49.212.87.104;8080;Transparent;false;"Japan";33334;65;"Jan 22 16:52:24"
5.10.224.106;8080;Transparent;false;"Iraq";849;98;"Jan 22 16:52:24"
49.212.129.130;3128;Transparent;false;"Japan";2351;95;"Jan 22 16:51:49"
49.0.124.102;8000;Transparent;false;"Thailand";1143;98;"Jan 22 16:51:46"
46.252.244.178;3128;Transparent;false;"Russian Federation";16032;85;"Jan 22 16:51:44"
89.248.168.139;8080;Anonymous;false;"Netherlands";11012;56;"Jan 22 16:51:41"
89.171.46.225;8080;Transparent;false;"Poland";7956;82;"Jan 22 16:51:30"
46.232.207.230;8080;Distorting;false;"Russian Federation";8419;72;"Jan 22 16:51:27"
46.16.226.83;8080;Transparent;false;"Russian Federation";756;90;"Jan 22 16:51:19"
42.62.5.116;16347;Distorting;false;"China";2704;97;"Jan 22 16:50:14"
42.62.5.109;10000;Distorting;false;"China";2283;98;"Jan 22 16:49:07"
42.62.5.107;16997;Distorting;false;"China";1638;97;"Jan 22 16:48:49"
42.62.5.106;33129;Distorting;false;"China";1500;98;"Jan 22 16:46:51"
125.88.125.219;1080;Socks5;true;"China";30;100;"Jan 22 16:46:27"
122.49.12.186;1080;Socks4;true;"China";30;86;"Jan 22 16:46:25"
122.225.62.211;1080;Socks4;true;"China";30;82;"Jan 22 16:46:13"
27.131.162.50;3128;Distorting;false;"Thailand";10671;87;"Jan 22 16:45:56"
42.62.5.105;8087;Distorting;false;"China";1490;96;"Jan 22 16:45:54"
23.22.162.254;80;Anonymous;false;"United States";622;54;"Jan 22 16:45:00"
223.4.241.231;3128;Transparent;false;"China";2072;86;"Jan 22 16:44:44"
221.7.145.42;8080;Transparent;false;"China";5744;89;"Jan 22 16:44:41"
220.227.90.238;8080;Transparent;false;"India";2943;14;"Jan 22 16:44:35"
42.62.5.102;28134;Distorting;false;"China";2165;98;"Jan 22 16:44:31"
42.120.51.102;80;Transparent;false;"China";1277;98;"Jan 22 16:44:21"
220.135.129.22;8080;Transparent;false;"Taiwan";1184;95;"Jan 22 16:44:16"
220.130.71.81;8080;Anonymous;false;"Taiwan";15134;86;"Jan 22 16:44:15"
42.120.50.45;80;Transparent;false;"China";1334;98;"Jan 22 16:44:13"
41.78.77.123;3131;Transparent;false;"Zimbabwe";3778;95;"Jan 22 16:44:10"
219.76.104.1;80;Transparent;false;"Hong Kong";18340;90;"Jan 22 16:44:00"
219.234.82.87;8080;Distorting;false;"China";5703;97;"Jan 22 16:43:34"
41.73.228.131;3128;Transparent;false;"Nigeria";2084;79;"Jan 22 16:43:14"
41.73.2.35;8080;Transparent;false;"Nigeria";1174;90;"Jan 22 16:43:12"
41.73.2.36;8080;Transparent;false;"Nigeria";520;90;"Jan 22 16:43:12"
